date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-03,IOANNINA,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,1.748,1.911,,1.496,1.006,1.117
2022-01-03,KAVALA,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,1.745,1.916,,1.479,1.024,1.127
2022-01-03,KARDITSA,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,1.753,1.949,,1.481,1.003,1.128
2022-01-03,KASTORIA,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,1.77,1.936,,1.489,0.997,1.143
2022-01-03,CORFU (KERKYRA),ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,1.799,1.951,,1.545,1.135,1.183
2022-01-03,KEFALONIA,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,1.817,1.983,,1.56,1.13,1.191
2022-01-03,KILKIS,ΝΟΜΟΣ ΚΙΛΚΙΣ,1.734,1.906,,1.47,1.022,1.128
2022-01-03,KOZANI,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.74,1.895,,1.473,1.003,1.114
2022-01-03,CORINTHOS,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.749,1.922,,1.476,1.011,1.116
2022-01-03,CYCLADES,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,1.972,2.104,,1.692,1.129,1.272
2022-01-03,LACONIA,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,1.775,1.947,,1.504,1.057,1.147
2022-01-03,LARISSA,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,1.756,1.93,,1.484,1.004,1.134
2022-01-03,LASITHI,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,1.81,1.956,,1.529,1.106,1.197
2022-01-03,LESBOS,ΝΟΜΟΣ ΛΕΣΒΟΥ,1.833,1.995,,1.57,1.088,1.274
2022-01-03,LEFKADA,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,1.786,1.946,,1.502,1.031,1.147
2022-01-03,MAGNESIA,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,1.789,1.979,,1.525,1.023,1.209
2022-01-03,MESSENIA,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,1.759,1.925,,1.483,1.045,1.151
2022-01-03,XANTHI,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.766,1.94,,1.487,1.067,1.111
2022-01-03,PELLA,ΝΟΜΟΣ ΠΕΛΛΗΣ,1.737,1.897,,1.458,0.989,1.112
2022-01-03,PIERIA,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,1.733,1.923,,1.46,1.015,1.095
2022-01-03,PREVEZA,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,1.738,1.893,,1.469,0.987,1.108
2022-01-03,RETHYMNO,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,1.809,1.932,,1.531,1.085,1.19
2022-01-03,RHODOPE,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,1.751,1.915,,1.476,1.036,1.116
2022-01-03,SAMOS,ΝΟΜΟΣ ΣΑΜΟΥ,1.826,1.988,,1.535,1.097,1.258
2022-01-03,SERRES,ΝΟΜΟΣ ΣΕΡΡΩΝ,1.734,1.885,,1.45,1.013,1.099
2022-01-03,TRIKALA,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,1.73,1.901,,1.476,0.99,1.099
2022-01-03,FTHIOTIDA,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,1.78,1.965,,1.507,1.038,1.154
2022-01-03,FLORINA,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,1.729,1.933,,1.475,1.039,1.121
2022-01-03,FOKIDA,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,1.806,1.926,,1.546,1.066,1.185
2022-01-03,CHALKIDIKI,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,1.752,1.915,,1.485,1.014,1.121
2022-01-03,CHANIA,ΝΟΜΟΣ ΧΑΝΙΩΝ,1.792,1.945,,1.531,1.089,1.15
2022-01-03,CHIOS,ΝΟΜΟΣ ΧΙΟΥ,1.77,1.95,,1.476,1.179,1.134
2022-01-03,NATIONAL WEIGHTED AVERAGE,ΠΑΝΕΛΛΗΝΙΟΣ ΣΤΑΘΜΙΣΜΕΝΟΣ Μ.Ο.,1.747,1.914,1.8,1.482,0.994,1.13
2022-01-04,AITOLOAKARNANIA,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,1.778,1.96,,1.507,1.066,1.155
2022-01-04,ARGOLIDA,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,1.742,1.907,,1.467,1.021,1.116
2022-01-04,ARCADIA,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,1.783,1.947,,1.511,1.023,1.141
2022-01-04,ARTA,ΝΟΜΟΣ ΑΡΤΗΣ,1.745,1.945,1.487,1.479,1.021,1.142
2022-01-04,ATTICA,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,1.715,1.903,,1.45,0.939,1.106
2022-01-04,ACHAEA,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.754,1.931,1.8,1.493,1.024,1.127
2022-01-04,BOEOTIA,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,1.747,1.937,,1.477,1.018,1.128
