Name,TotalCases,Continent,NewCases 2,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population (2020),Med. Age,testing_mean_diff_pct,cases_rate_normalized,cases_rate_mean_diff_pct
Sierra Leone,7,Africa,,,,,7,,0.9,,,,7976983,19,,,
Nicaragua,6,North America,,1,,,5,,0.9,0.2,,,6624554,26,,,
St. Barth,6,North America,,,,1,5,,607,,,,9877,,,,
Bhutan,5,Asia,,,,2,3,,6,,1166,1511,771608,28,-79.25,0.4,-96.31
Falkland Islands,5,South America,,,,1,4,,1437,,137,39368,3480,,440.53,3.65,-66.3
Gambia,4,Africa,,1,,2,1,,2,0.4,,,2416668,18,,,
Sao Tome and Principe,4,Africa,,,,,4,,18,,19,87,,,-98.81,20.69,91.01
Western Sahara,4,Africa,,,,,4,,7,,,,597339,28,,,
Anguilla,3,North America,,,,,3,,200,,,,15003,,,,
British Virgin Islands,3,North America,,,,,3,,99,,,,30231,,,,
Burundi,3,Africa,,,,,3,,0.3,,,,11890784,17,,,
South Sudan,3,Africa,1,,,,3,,0.3,,,,11193725,19,,,
Caribbean Netherlands,2,North America,,,,,2,,76,,10,381,26223,,-94.77,19.95,84.18
Papua New Guinea,2,Australia/Oceania,,,,,2,,0.2,,72,8,8947024,22,-99.89,2.5,-76.92
Saint Pierre Miquelon,1,North America,,,,,1,,173,,,,,,,,
Timor-Leste,1,Asia,,,,,1,,0.8,,,,1318445,21,,,
China,81865,Asia,63,3335,2,77370,1160,176,57,2,,,1439323776,38,,,
