names,prize_money,best_rank,overall_surface_pct,hard_surface_pct,clay_surface_pct,grass_surface_pct,ranksDiff1,ranksDiff2,ranksDiff3,best_rank_std,age_turned_pro,age,plays,backhand,favorite_surface,hard_titles_std,clay_titles_std,titles_std,prize_money_std
Guillaume Rufin,146410.4,81,0.37,0.45,0.29,0.33,32.0,34.0,145.0,5.0,17.0,29.0,3,3,10,,,,11.8941689162376
Raphael Durek,,400,0.01,0.01,,,209.0,82.0,37.0,,,36.0,3,1,1,,,,
Marcus Daniell,378659.5,500,0.5,0.5,,,52.0,18.0,58.0,6.0,18.0,30.0,3,3,1,,,,12.844392663359699
Thomas Schiessling,,257,0.31,,0.31,,197.0,13.0,31.0,,,45.0,3,1,4,,,,
Divij Sharan,,438,,,,,375.0,41.0,84.0,3.0,18.0,34.0,2,3,1,,,,
Andrei Gorban,12053.25,343,0.3,0.01,0.29,,192.0,124.0,207.0,,,36.0,1,1,4,,,,9.39708961209729
Juan Antonio Marin,100843.08,55,0.39,0.27,0.44,0.01,10.0,15.0,102.0,3.0,21.0,45.0,3,3,4,,0.0833333333333333,0.0833333333333333,11.521320924270599
Hee Seok Chung,8586.25,482,0.7,0.86,0.99,,89.0,69.0,57.0,,,43.0,3,1,10,,,,9.05791736552809
Andrei Stoliarov,104619.43,71,0.39,0.44,0.38,0.35,41.0,58.0,48.0,6.0,18.0,43.0,3,1,10,,,,11.558084568620698
Martin Verkerk,186422.38,14,0.46,0.37,0.51,0.33,72.0,75.0,67.0,7.0,17.0,41.0,3,2,2,,0.125,0.25,12.1357702384042
Philip Gubenco,,519,0.01,0.01,,,200.0,232.0,260.0,,,37.0,2,1,1,,,,
Denis Zivkovic,,292,,,,,33.0,158.0,64.0,9.0,16.0,32.0,3,1,1,,,,
Suwandi Suwandi,6352.58,240,0.43,0.52,0.38,,127.0,203.0,404.0,,,43.0,3,1,10,,,,8.75661630858216
Josko Topic,,543,0.01,,0.01,,156.0,88.0,72.0,,,36.0,1,1,1,,,,
Harri Heliovaara,15303.22,194,0.38,0.43,0.25,,321.0,150.0,372.0,2.0,19.0,30.0,3,3,10,,,,9.635818542753789
Martin Lee,62342.78,94,0.31,0.19,0.2,0.4,72.0,98.0,396.0,6.0,18.0,42.0,2,3,9,,,,11.0404031464881
Mashiska Washington,17995.38,290,0.31,0.31,,,104.0,68.0,243.0,4.0,20.0,45.0,3,1,10,,,,9.79787033726711
Igor Zelenay,,279,,,,,266.0,39.0,89.0,3.0,20.0,38.0,3,3,1,,,,
Photos Kallias,,455,0.08,0.01,0.14,,104.0,355.0,414.0,,,36.0,2,1,4,,,,
Peter Clarke,14858.0,229,0.46,,0.57,,240.0,45.0,32.0,4.0,18.0,40.0,3,1,4,,,,9.606293719711749
Piero Luisi,,471,0.58,0.56,0.67,,1.0,102.0,143.0,,,32.0,3,1,10,,,,
Didac Perez,30368.0,162,0.14,,0.14,,179.0,33.0,71.0,,,38.0,3,1,1,,,,10.321144701409699
Ilia Kushev,7873.75,285,0.38,,0.29,,10.0,304.0,9.0,4.0,19.0,39.0,3,1,1,,,,8.971289720936142
David Sherwood,126338.0,214,0.25,0.01,0.01,0.5,174.0,240.0,85.0,7.0,17.0,39.0,3,1,1,,,,11.7467161340282
Juan Manuel Elizondo,61837.0,446,0.99,0.99,0.99,,117.0,116.0,47.0,,,36.0,1,1,1,,,,11.0322571697948
Tommy Paul,114153.33,57,0.49,0.51,0.33,0.01,640.0,124.0,50.0,5.0,17.0,22.0,3,3,10,,,,11.6452978236744
Jae Sung An,25869.67,289,0.6,0.99,0.01,,93.0,407.0,189.0,,,34.0,3,1,1,,,,10.1608265190106
Gustavo Kuerten,1139000.0,1,0.65,0.62,0.7,0.47,1.0,35.0,21.0,5.0,18.0,43.0,3,2,4,0.46153846153846206,1.07692307692308,1.53846153846154,13.945661242429301
Dimitar Kutrovsky,18949.25,293,0.62,0.6,0.75,,262.0,47.0,195.0,10.0,17.0,32.0,3,3,10,,,,9.849519631890939
Bastian Trinker,98857.0,241,0.33,,0.33,,21.0,266.0,17.0,,,29.0,3,2,1,,,,11.501429640456701
